用户ID,商品,购买日期,购买价格 (元)
4479,Cosmetics,2023-09-19,6498
4113,Clothing,2023-09-28,2425
5866,Technology,2023-11-23,814
1208,Technology,2023-10-16,5608
2814,Books,2023-10-01,3169
4863,Food & Beverage,2023-11-05,2869
3039,Books,2023-09-11,6782
4431,Shoes,2023-09-18,9929
2767,Cosmetics,2023-11-03,6885
4602,Technology,2023-11-28,3252
2326,Clothing,2023-09-06,9443
5707,Books,2023-10-28,869
2462,Toys,2023-09-20,7675
2268,Food & Beverage,2023-11-29,6332
2215,Cosmetics,2023-11-04,5310
1603,Clothing,2023-09-01,8550
2120,Food & Beverage,2023-11-21,1190
3715,Clothing,2023-11-04,967
2028,Cosmetics,2023-11-14,3657
5381,Food & Beverage,2023-09-30,4317
2442,Shoes,2023-11-06,413
2812,Books,2023-11-28,6931
5358,Books,2023-11-13,3295
2432,Toys,2023-10-25,9242
2519,Shoes,2023-09-01,9370
5320,Technology,2023-09-30,3241
2402,Clothing,2023-10-23,6630
2385,Technology,2023-09-27,2161
3614,Shoes,2023-09-20,1419
3162,Toys,2023-11-11,4513
3930,Food & Beverage,2023-09-09,1453
3524,Clothing,2023-09-02,6391
2831,Food & Beverage,2023-10-25,6017
4341,Food & Beverage,2023-10-16,8151
3910,Books,2023-10-08,3213
4809,Food & Beverage,2023-09-02,8661
1009,Books,2023-10-18,779
3245,Clothing,2023-10-16,5098
5015,Shoes,2023-10-31,1198
1079,Shoes,2023-10-07,6759
4104,Toys,2023-09-12,9944
2649,Books,2023-09-29,7804
3838,Toys,2023-11-08,3383
4686,Technology,2023-09-30,7193
1632,Books,2023-10-02,6461
3629,Books,2023-09-09,1986
2508,Books,2023-10-13,3191
2685,Cosmetics,2023-11-15,1812
2397,Clothing,2023-10-10,3870
5333,Cosmetics,2023-09-25,4899
3098,Books,2023-09-06,1854
5152,Food & Beverage,2023-10-07,3494
1773,Cosmetics,2023-11-10,9422
3381,Food & Beverage,2023-11-14,991
3358,Technology,2023-11-29,1859
1058,Technology,2023-11-21,9709
5174,Food & Beverage,2023-09-13,624
2874,Toys,2023-09-09,663
2071,Food & Beverage,2023-10-20,9986
3558,Technology,2023-10-27,3100
2646,Clothing,2023-11-27,5188
3777,Food & Beverage,2023-10-08,6724
4172,Cosmetics,2023-09-27,9902
4463,Food & Beverage,2023-10-14,7923
1042,Books,2023-10-19,3194
2771,Toys,2023-11-27,3566
2194,Cosmetics,2023-11-26,914
2908,Clothing,2023-11-10,7648
4931,Toys,2023-11-04,253
4160,Cosmetics,2023-09-27,193
3892,Cosmetics,2023-10-27,6036
5085,Shoes,2023-10-16,6492
2058,Technology,2023-09-23,4991
3320,Shoes,2023-11-17,279
1923,Shoes,2023-10-06,790
2352,Clothing,2023-11-23,4686
4821,Toys,2023-10-09,4215
5934,Cosmetics,2023-11-26,8710
5473,Books,2023-10-06,7478
1456,Toys,2023-10-04,8774
3113,Shoes,2023-11-14,8536
3206,Books,2023-10-28,7365
5713,Food & Beverage,2023-10-13,434
2823,Clothing,2023-09-15,2181
4582,Technology,2023-09-17,4356
5611,Technology,2023-10-21,3477
2770,Food & Beverage,2023-09-21,4741
5930,Clothing,2023-09-16,1521
3848,Cosmetics,2023-09-14,1085
3635,Food & Beverage,2023-10-06,4169
5082,Food & Beverage,2023-09-04,5283
4215,Clothing,2023-10-31,7615
4946,Cosmetics,2023-11-12,9194
1983,Food & Beverage,2023-10-14,4560
3782,Books,2023-10-18,5345
3530,Clothing,2023-09-09,9244
3782,Toys,2023-10-26,8938
5757,Shoes,2023-09-08,9307
5721,Toys,2023-09-23,4113
1672,Cosmetics,2023-10-25,9902
5921,Clothing,2023-10-10,8919
4153,Technology,2023-09-25,5799
4654,Cosmetics,2023-09-01,4439
4911,Cosmetics,2023-09-08,5792
2841,Clothing,2023-09-22,7482
3957,Clothing,2023-10-09,4673
4067,Technology,2023-10-08,6230
3938,Books,2023-11-09,225
2494,Toys,2023-10-13,2707
3602,Clothing,2023-10-27,7092
2976,Books,2023-10-21,7044
5136,Toys,2023-11-29,430
3111,Technology,2023-10-12,3877
5761,Cosmetics,2023-10-06,8374
3974,Cosmetics,2023-09-12,3694
1976,Toys,2023-09-12,8953
5509,Toys,2023-10-03,4154
4467,Books,2023-09-08,7211
1890,Shoes,2023-09-23,1703
4055,Toys,2023-10-20,4552
4323,Books,2023-10-05,8544
2683,Clothing,2023-09-01,9335
3970,Technology,2023-11-29,2248
4210,Shoes,2023-09-07,9830
4332,Food & Beverage,2023-10-26,7720
4584,Clothing,2023-11-29,3240
1880,Toys,2023-09-01,1787
3443,Cosmetics,2023-10-03,5979
5122,Shoes,2023-09-04,8502
1485,Cosmetics,2023-11-02,332
3792,Clothing,2023-09-22,1506
5867,Clothing,2023-10-17,3726
2120,Shoes,2023-09-29,1072
4325,Clothing,2023-09-30,9113
1853,Toys,2023-10-01,4010
5858,Toys,2023-10-22,4372
5116,Food & Beverage,2023-09-23,9077
5715,Cosmetics,2023-09-28,9672
2922,Clothing,2023-10-01,2215
5076,Books,2023-09-23,6524
3187,Food & Beverage,2023-09-19,8733
5740,Cosmetics,2023-09-05,6694
5155,Books,2023-11-10,1106
3396,Food & Beverage,2023-11-15,7854
3142,Cosmetics,2023-09-30,9823
1745,Food & Beverage,2023-10-21,8635
2696,Clothing,2023-09-24,1722
1622,Food & Beverage,2023-10-10,5230
4053,Food & Beverage,2023-10-16,7486
4582,Technology,2023-09-27,5549
1214,Books,2023-09-04,1532
1706,Toys,2023-10-22,7139
2683,Clothing,2023-09-10,9404
3826,Cosmetics,2023-09-09,1525
3380,Food & Beverage,2023-10-29,9840
2545,Books,2023-11-02,6644
3647,Cosmetics,2023-11-24,5685
5515,Shoes,2023-09-29,504
1512,Technology,2023-09-28,4389
3422,Books,2023-11-11,6533
4105,Cosmetics,2023-09-11,7648
5908,Toys,2023-09-10,6721
5650,Shoes,2023-09-08,6468
1474,Shoes,2023-10-20,326
4611,Food & Beverage,2023-11-02,6756
5888,Cosmetics,2023-09-24,6631
1489,Toys,2023-09-29,1336
2124,Clothing,2023-11-24,9066
5640,Cosmetics,2023-11-02,7061
2335,Books,2023-11-26,1426
2362,Food & Beverage,2023-09-28,4813
3580,Toys,2023-10-14,4203
3497,Toys,2023-09-10,9621
2285,Food & Beverage,2023-11-01,109
3800,Books,2023-09-20,8519
1300,Shoes,2023-11-08,4600
3545,Clothing,2023-10-27,2048
1297,Toys,2023-10-13,4926
2694,Cosmetics,2023-09-19,368
4826,Clothing,2023-09-04,8584
2592,Cosmetics,2023-11-12,9693
2901,Clothing,2023-10-12,663
2813,Toys,2023-10-05,5921
5122,Cosmetics,2023-09-27,101
1274,Technology,2023-10-21,1483
4302,Toys,2023-11-10,8604
5422,Books,2023-10-12,8033
4608,Toys,2023-11-06,5097
1706,Books,2023-10-23,2337
1704,Technology,2023-09-02,7856
2366,Food & Beverage,2023-10-06,3142
2169,Cosmetics,2023-10-10,8851
2315,Clothing,2023-09-15,5632
5117,Toys,2023-11-10,4365
3992,Clothing,2023-10-31,3308
1106,Toys,2023-10-26,1806
5219,Food & Beverage,2023-10-07,9571
2735,Food & Beverage,2023-09-02,3444
5919,Clothing,2023-10-22,139
4024,Clothing,2023-09-30,4406
4571,Clothing,2023-09-20,8114
4730,Cosmetics,2023-11-13,673
1316,Cosmetics,2023-10-03,1328
4305,Clothing,2023-09-29,6877
5118,Technology,2023-11-08,3203
1107,Clothing,2023-11-07,3919
4526,Cosmetics,2023-11-18,1890
5947,Toys,2023-09-16,4800
1714,Shoes,2023-10-29,7417
5772,Toys,2023-10-19,3725
5369,Books,2023-10-29,1990
1055,Clothing,2023-11-28,5558
4940,Shoes,2023-09-29,5701
3011,Food & Beverage,2023-11-17,9082
2048,Cosmetics,2023-09-16,825
2781,Books,2023-09-11,2781
1203,Cosmetics,2023-10-05,4118
5684,Books,2023-10-01,5249
1738,Toys,2023-10-09,516
4128,Food & Beverage,2023-09-07,3712
1868,Cosmetics,2023-11-10,204
3253,Cosmetics,2023-09-19,1957
2143,Food & Beverage,2023-11-22,3432
2490,Toys,2023-10-01,8089
4191,Toys,2023-09-05,5446
1965,Cosmetics,2023-10-23,4129
3856,Clothing,2023-10-20,6655
2086,Clothing,2023-11-14,2845
3132,Clothing,2023-11-13,8808
2244,Books,2023-11-03,2794
4233,Books,2023-10-28,3462
3620,Food & Beverage,2023-10-03,8050
5609,Food & Beverage,2023-10-18,2951
4399,Food & Beverage,2023-11-06,9478
1571,Food & Beverage,2023-11-15,4185
4664,Food & Beverage,2023-11-01,9018
5287,Cosmetics,2023-09-05,3677
5441,Shoes,2023-09-28,7022
5289,Cosmetics,2023-11-19,2206
4844,Toys,2023-11-08,2176
1929,Technology,2023-10-28,3547
2001,Shoes,2023-10-30,6853
1320,Books,2023-10-25,3633
2835,Clothing,2023-09-10,8634
3100,Shoes,2023-10-09,3139
3562,Shoes,2023-09-29,4301
5212,Cosmetics,2023-11-16,5217
2858,Shoes,2023-10-18,8263
4666,Technology,2023-11-29,7134
5983,Clothing,2023-11-18,1918
3039,Clothing,2023-10-26,562
1901,Books,2023-11-21,5829
5703,Shoes,2023-09-29,5725
5331,Books,2023-10-08,4606
3759,Food & Beverage,2023-09-19,3611
2528,Shoes,2023-09-09,5435
3670,Books,2023-09-14,6072
3380,Shoes,2023-10-03,4341
3782,Cosmetics,2023-10-16,6115
5084,Technology,2023-10-03,7694
1462,Toys,2023-09-19,3000
3458,Books,2023-10-15,9825
2824,Cosmetics,2023-09-15,9400
2271,Technology,2023-09-21,2857
2107,Food & Beverage,2023-10-10,1257
3560,Books,2023-11-16,4464
2991,Cosmetics,2023-10-27,6336
2456,Toys,2023-10-18,4890
3868,Clothing,2023-11-24,335
1729,Shoes,2023-09-23,582
4902,Food & Beverage,2023-10-02,5483
4905,Technology,2023-10-23,9492
4384,Technology,2023-09-04,1949
4457,Clothing,2023-09-01,7961
3121,Food & Beverage,2023-11-09,4367
3295,Food & Beverage,2023-09-17,8643
3104,Toys,2023-10-03,8664
3811,Shoes,2023-11-19,7789
4711,Cosmetics,2023-11-04,1959
2360,Clothing,2023-11-19,7921
4557,Clothing,2023-10-13,4402
2623,Cosmetics,2023-11-29,5095
4828,Clothing,2023-09-24,6326
5122,Toys,2023-10-06,898
5307,Clothing,2023-11-17,5932
4089,Shoes,2023-09-21,8038
3465,Books,2023-10-15,8147
3807,Clothing,2023-09-27,2131
1202,Food & Beverage,2023-10-16,5287
4690,Toys,2023-09-20,2369
1933,Food & Beverage,2023-11-01,1203
5707,Cosmetics,2023-11-06,6450
4232,Cosmetics,2023-11-12,7299
4018,Technology,2023-11-03,1290
4676,Shoes,2023-10-15,6611
1168,Technology,2023-11-28,8090
3137,Shoes,2023-11-15,526
3098,Books,2023-10-09,3304
4148,Shoes,2023-10-23,7318
3190,Toys,2023-10-18,3400
5704,Toys,2023-11-15,1759
1266,Books,2023-10-16,4926
5895,Food & Beverage,2023-11-21,107
4659,Cosmetics,2023-11-25,6486
1196,Technology,2023-10-09,634
3580,Technology,2023-11-19,3372
1371,Cosmetics,2023-09-23,1449
3920,Books,2023-10-10,3996
3247,Clothing,2023-09-20,4682
3090,Books,2023-11-08,4893
3581,Cosmetics,2023-11-07,4848
2063,Cosmetics,2023-09-11,7066
4026,Clothing,2023-09-28,4394
2751,Shoes,2023-09-16,4824
3586,Food & Beverage,2023-09-18,7338
1723,Shoes,2023-09-12,1255
2251,Books,2023-10-16,675
1933,Technology,2023-09-25,4267
4363,Toys,2023-10-25,2077
5937,Toys,2023-11-17,4984
5587,Toys,2023-11-23,4793
5961,Toys,2023-10-25,704
2422,Toys,2023-11-05,2097
4096,Cosmetics,2023-10-04,3364
2290,Technology,2023-10-16,2637
5135,Books,2023-09-14,4022
3693,Toys,2023-11-02,5665
3439,Technology,2023-10-13,6669
3064,Cosmetics,2023-11-27,3652
3908,Shoes,2023-09-24,9687
1213,Cosmetics,2023-09-21,2869
3138,Toys,2023-11-18,9031
5123,Toys,2023-11-20,1039
1627,Toys,2023-10-14,5623
3815,Toys,2023-10-25,2091
5197,Technology,2023-11-18,6953
1039,Food & Beverage,2023-09-15,174
1620,Cosmetics,2023-09-22,1918
4785,Cosmetics,2023-10-31,1415
3665,Shoes,2023-11-05,3751
3487,Shoes,2023-11-13,1775
2362,Toys,2023-09-27,5792
1990,Food & Beverage,2023-11-18,358
3030,Cosmetics,2023-09-07,186
1358,Clothing,2023-09-22,2586
3285,Cosmetics,2023-11-19,133
2018,Technology,2023-09-24,9325
1260,Toys,2023-09-08,3192
3739,Clothing,2023-09-12,6054
2787,Cosmetics,2023-11-21,8870
2967,Books,2023-10-17,2780
1428,Food & Beverage,2023-10-16,8078
1006,Technology,2023-10-20,156
2650,Clothing,2023-09-23,6653
1631,Food & Beverage,2023-11-21,7521
5730,Shoes,2023-09-03,9787
5282,Technology,2023-11-23,335
5285,Shoes,2023-10-01,6542
2077,Shoes,2023-10-13,3949
2445,Books,2023-10-17,6831
4519,Food & Beverage,2023-09-14,9385
5424,Food & Beverage,2023-10-20,2575
4811,Cosmetics,2023-11-22,904
1678,Books,2023-11-14,5709
5786,Clothing,2023-09-14,1777
5356,Clothing,2023-09-28,8853
5823,Books,2023-11-08,8028
4235,Toys,2023-09-09,551
2899,Shoes,2023-09-10,8648
2480,Clothing,2023-10-08,2111
4829,Books,2023-10-04,2893
5292,Technology,2023-11-10,4880
4033,Food & Beverage,2023-10-16,4796
3592,Clothing,2023-11-12,8040
3949,Technology,2023-11-14,3340
1512,Clothing,2023-09-13,3516
4669,Books,2023-09-05,2647
5347,Technology,2023-10-24,6401
3839,Books,2023-09-22,680
4773,Clothing,2023-11-09,6676
4730,Technology,2023-10-16,8889
4472,Clothing,2023-10-30,4630
1691,Books,2023-11-16,8458
3592,Cosmetics,2023-11-04,3314
4818,Books,2023-11-01,9795
2217,Shoes,2023-10-17,235
1350,Clothing,2023-09-09,7574
2868,Clothing,2023-11-23,110
5120,Toys,2023-10-28,8954
5105,Clothing,2023-10-12,2781
3165,Cosmetics,2023-11-22,7265
4973,Shoes,2023-11-16,3870
5556,Clothing,2023-09-14,7892
2674,Books,2023-11-12,6145
4860,Clothing,2023-09-09,3839
3982,Shoes,2023-10-24,1724
5185,Clothing,2023-09-08,8837
2373,Technology,2023-11-06,8015
3174,Cosmetics,2023-11-13,6353
2525,Books,2023-09-09,9826
3947,Clothing,2023-09-21,9445
3361,Shoes,2023-09-14,8014
5844,Clothing,2023-09-29,4564
1830,Toys,2023-09-20,1746
2346,Technology,2023-09-23,1904
3942,Food & Beverage,2023-09-29,2374
5923,Cosmetics,2023-10-30,8084
3658,Toys,2023-11-24,2972
3188,Books,2023-11-01,1895
1679,Books,2023-11-25,2058
3514,Clothing,2023-09-18,213
2250,Clothing,2023-10-01,9433
4347,Food & Beverage,2023-10-22,4226
5292,Clothing,2023-11-16,8354
1724,Toys,2023-09-24,2647
3364,Food & Beverage,2023-09-16,8557
5638,Books,2023-10-27,9739
2810,Cosmetics,2023-10-21,7627
5285,Books,2023-11-13,4561
3662,Shoes,2023-09-18,2467
3358,Food & Beverage,2023-11-14,3801
3563,Toys,2023-09-25,8137
5604,Toys,2023-11-17,8710
4434,Books,2023-09-08,5863
1629,Toys,2023-09-16,1705
3925,Shoes,2023-09-03,7984
1692,Books,2023-09-13,8452
2593,Books,2023-10-10,4917
3203,Toys,2023-10-11,1126
2556,Books,2023-11-08,3978
3835,Technology,2023-09-11,9376
2595,Cosmetics,2023-09-17,1853
1902,Technology,2023-10-31,7801
2232,Clothing,2023-09-01,4142
5581,Technology,2023-10-01,8334
4398,Food & Beverage,2023-10-16,7966
5294,Technology,2023-10-26,7711
1139,Toys,2023-10-04,815
2441,Technology,2023-10-21,2844
5595,Food & Beverage,2023-11-26,8016
4432,Toys,2023-10-12,8427
2592,Shoes,2023-11-10,3746
4395,Cosmetics,2023-10-23,5345
5316,Books,2023-10-31,6971
4948,Technology,2023-11-16,9594
2907,Cosmetics,2023-10-22,6183
4007,Technology,2023-11-03,8769
5983,Shoes,2023-09-29,5015
4620,Books,2023-10-29,9152
4418,Cosmetics,2023-11-11,5286
1937,Toys,2023-11-15,7526
4788,Technology,2023-09-03,5288
2233,Clothing,2023-09-26,1740
2840,Shoes,2023-09-08,3997
4346,Shoes,2023-09-16,9979
4669,Cosmetics,2023-09-01,9843
3967,Technology,2023-11-26,8747
1496,Books,2023-09-30,8138
5052,Cosmetics,2023-10-10,6812
5977,Technology,2023-11-23,4195
2901,Clothing,2023-10-03,3779
1359,Clothing,2023-10-16,8897
1644,Clothing,2023-09-04,9787
2698,Toys,2023-11-22,1860
2820,Toys,2023-11-15,6724
1302,Food & Beverage,2023-09-20,3889
5541,Clothing,2023-10-01,1327
3552,Technology,2023-09-27,1866
4587,Shoes,2023-11-19,3601
4598,Toys,2023-10-28,2980
2577,Shoes,2023-09-05,5493
2502,Food & Beverage,2023-09-30,2471
4870,Toys,2023-10-27,2891
5455,Food & Beverage,2023-11-03,889
2001,Toys,2023-10-12,1710
3028,Food & Beverage,2023-11-07,7561
2844,Technology,2023-09-05,8024
2639,Technology,2023-10-16,6159
5642,Technology,2023-09-25,660
3661,Shoes,2023-11-29,2921
5040,Shoes,2023-10-12,3766
3381,Technology,2023-11-11,6993
4419,Toys,2023-11-16,742
5539,Shoes,2023-11-14,2030
1620,Technology,2023-09-14,5832
1491,Cosmetics,2023-09-05,7400
4128,Shoes,2023-09-01,3018
3586,Technology,2023-10-12,5677
1974,Shoes,2023-09-16,9733
2360,Food & Beverage,2023-09-27,8661
4844,Books,2023-09-20,7788
5052,Cosmetics,2023-10-25,5757
2158,Food & Beverage,2023-09-19,9867
4414,Toys,2023-09-09,5920
5360,Shoes,2023-09-18,1783
5068,Toys,2023-11-16,3175
2573,Cosmetics,2023-11-21,2053
1325,Toys,2023-11-03,4496
3417,Books,2023-09-19,148
2918,Technology,2023-09-04,5676
3334,Clothing,2023-09-28,6992
1992,Cosmetics,2023-09-13,1668
3455,Cosmetics,2023-09-27,152
3882,Shoes,2023-11-17,9910
1703,Books,2023-10-05,4881
2132,Books,2023-11-17,3255
1815,Clothing,2023-10-06,2386
2117,Clothing,2023-10-31,914
2198,Books,2023-09-17,6241
5543,Food & Beverage,2023-09-25,5506
2052,Books,2023-11-07,6641
4307,Technology,2023-10-02,1616
1693,Food & Beverage,2023-11-18,6487
4937,Cosmetics,2023-11-08,6313
2556,Food & Beverage,2023-11-02,8918
4577,Books,2023-11-01,1501
5898,Food & Beverage,2023-09-29,3274
1515,Toys,2023-09-02,9964
1424,Food & Beverage,2023-09-20,9681
2439,Shoes,2023-10-12,7625
1045,Shoes,2023-09-18,8318
1259,Food & Beverage,2023-09-09,1835
1618,Technology,2023-10-07,9699
1117,Technology,2023-09-17,9135
3619,Clothing,2023-10-25,2459
2205,Clothing,2023-10-11,3759
5564,Clothing,2023-09-30,5972
3317,Books,2023-09-11,145
1009,Shoes,2023-10-03,4907
1632,Clothing,2023-10-09,7555
4301,Shoes,2023-11-15,2665
1754,Food & Beverage,2023-11-11,653
3327,Food & Beverage,2023-09-08,446
3608,Toys,2023-09-20,2524
5316,Technology,2023-11-24,3877
2308,Toys,2023-09-29,5265
